"Date","Record Number","Record Type","Description","Project Name","Status","Short Notes",
"10/02/2025","RES-ELC-25-002101","Residential Electrical Permit","Install 48A Tesla charger in garage","4452 DIAMOND Cir S,  Sarasota, FL 34233 :","Closed - Complete",,
"10/01/2025","RES-ALT-25-010753","Residential Alteration Permit","CHANGE OUT GARAGE DOORSIZE FOR SIZE","4484 DIAMOND Cir E,  Sarasota, FL 34233 :","Inspection Phase",,
"09/29/2025","RES-MEC-25-007009","Residential Mechanical Permit","Equal AC C/O 4 ton Split","4413 DIAMOND Cir N,  Sarasota, FL 34233 :","Inspection Phase",,
"09/24/2025","RES-ROOF-25-008378","Residential Roofing Permit","Remove the existing roof system. Re-nail decking and install new underlayment and Shingle","4505 DIAMOND Cir N,  Sarasota, FL 34233 :","Inspection Phase",,
"09/08/2025","RES-ALT-25-009986","Residential Alteration Permit","Garage door replacement","4479 DIAMOND Cir E,  Sarasota, FL 34233 :","Closed - Complete",,
"08/26/2025","RES-ROOF-25-007879","Residential Roofing Permit","Reroof shingle to shingle34sq; 5/12; MH 15'","4455 DIAMOND Cir S,  Sarasota, FL 34233 :","Closed - Complete",,
"08/13/2025","RES-ROOF-25-007646","Residential Roofing Permit","Re-roofing; SFH with architectural shingles, 44sq, 5/12 pitch","4498 DIAMOND Cir E,  Sarasota, FL 34233 :","Closed - Complete",,
"08/13/2025","RES-ROOF-25-007661","Residential Roofing Permit","SHINGLE REROOF","4479 DIAMOND Cir E,  Sarasota, FL 34233 :","Closed - Complete",,
"07/25/2025","RES-ALT-25-008508","Residential Alteration Permit","CHANGE OUT GARAGE DOOR SIZE FOR SIZE","4486 DIAMOND Cir E,  Sarasota, FL 34233 :","Closed - Complete",,
"07/16/2025","RES-ALT-25-008086","Residential Alteration Permit","Installation of 4 grommet screens and 1 accordion shutter impact rated","4489 DIAMOND Cir E,  Sarasota, FL 34233 :","Inspection Phase",,
"07/07/2025","RES-ROOF-25-006887","Residential Roofing Permit","Reroof 40sq Shingle Pitch 5/12","4484 DIAMOND Cir E,  Sarasota, FL 34233 :","Closed - Complete",,
"06/24/2025","RES-ROOF-25-006577","Residential Roofing Permit","ROOF REPLACEMENT 4/12 41SQFL32344.1FL10674.1","4435 DIAMOND Cir W,  Sarasota, FL 34233 :","Closed - Complete",,
"06/13/2025","RES-ALT-25-006900","Residential Alteration Permit","Size for size replacement of 13 windows and 1 sgd using impact products","4428 DIAMOND Cir W,  Sarasota, FL 34233 :","Closed - Complete",,
"06/05/2025","RES-ROOF-25-006133","Residential Roofing Permit","Reroof 34sq shingle Pitch 5/12","4421 DIAMOND Cir W,  Sarasota, FL 34233 :","Inspection Phase",,
"05/19/2025","RES-ROOF-25-005692","Residential Roofing Permit","Roof Replacement","4429 DIAMOND Cir W,  Sarasota, FL 34233 :","Closed - Complete",,
